student,title,url,date
NA,Svenning_The late-quaternary megafauna extinctions_2024,https://drive.proton.me/urls/D6NJZZAP4C#Z3LpyxgWBLZ2,2025-10-06
NA,Garizio_First evidence of recruitment in critically endangered Galapagos pink land_2024,https://drive.proton.me/urls/A83F3JPNE8#MFYXl2no7cOc,2025-10-09
NA,Chekunov_Scale of unregulated international trade in Australian reptiles and amphibians_2024,https://drive.proton.me/urls/GDG8WSDYV4#hwLzJKVDbTMo,2025-10-13
NA,Westaway_Wildlife restoration in fragmented landscapes Trialling wild-to-wild translocation with two common reptiles_2024,https://drive.proton.me/urls/R1ST0QF578#XBIVkr81YHTl,2025-10-16
NA,Buckley_Conservation threats from tourism land grabs and greenwash_2024,https://drive.proton.me/urls/NRFCH9JETG#EgTln1CmYaWr,2025-10-20
NA,Morris_Factors affecting success of conservation translocations of terrestrial vertebrates: A global systematic review_2021,https://drive.proton.me/urls/R71DEE2S3W#td6OBWV3ohyc,2025-10-23
NA,Farquharson_Offspring survival changes over generations of captive breeding_2021,https://drive.proton.me/urls/KPC1FAMTD4#mCB5ljRxP2hX,2025-10-27
NA,Schmidt_A Survey of Mammal and Fish Genetic Diversity Across the Global Protected Area Network_2025,https://drive.proton.me/urls/ZJEHPT4DXM#P1uPFUSw3QoT,2025-10-30
NA,Christie_Genetic adaptation to captivity can occur in a single generation_2012,https://drive.proton.me/urls/5YDFXWAPW4#2tcZZIVlOUkq,2025-11-03
NA,Mawdsley_A Review of Climate-Change Adaptation Strategies for Wildlife Management and Biodiversity Conservation_2009,https://drive.proton.me/urls/7367H587NW#K7tcNnrQ4Ne3,2025-11-06
NA,Cui_Food resources and competition rather than eco-geographic rules explain trait variations in two contrasting rat species: Implications for future climate change_2022,https://drive.proton.me/urls/21F7CN2C90#v02tCmM2cx6J,2025-11-17
NA,Desigaux_Assessing the relative influence of island climatic and geographical factors on body size in an endangered iguana species of the French Caribbean_2025,https://drive.proton.me/urls/520ZN2RZZM#QCUVvSzGA69B,2025-11-20
NA,Makuya_Kin-based spatial structure in a solitary small mammal as indicated by GPS dataloggers_2024,https://drive.proton.me/urls/5JW3FYC7K0#A7h646nPBMVA,2025-11-24
NA,Marucco_A multidisciplinary approach to estimating wolf population size for long-term conservation_2022,https://drive.proton.me/urls/SKRVZKD304#Yfq0OobdSgj0,2025-11-27
NA,Simkins_Past conservation efforts reveal which actions lead to positive outcomes for species_2025,https://drive.proton.me/urls/XS012FVZ9C#8eovxYyyjWtL,2025-12-01
NA,Castano_Invasive rodent eradication on islands: assessment and mitigation of human exposure to rodenticides_2023,https://drive.proton.me/urls/804FZQM3PG#gWJ04dTO5wWU,2025-12-04
NA,Obiol_Evolutionarily distinct lineages of a migratory bird of prey show divergent responses to climate change_2025,https://drive.proton.me/urls/RFAR10NWA0#O4AcA24eTjBI,2025-12-11
